116.233.41.36,4491,sh,121.660329,31.167014
116.238.165.66,2046,sh,121.316821,31.151152
139.226.144.250,1036,sh,121.350139,31.409521
117.186.189.2,2996,sh,121.407605,31.344461
114.83.48.221,4624,sh,121.253266,31.178411
139.227.7.181,3158,sh,121.691178,31.247363
117.131.38.198,919,sh,121.481641,31.336342
139.226.37.109,3139,sh,121.581413,31.276308
58.34.85.178,5124,sh,121.403303,31.312869
116.227.107.129,931,sh,121.813655,30.914809
116.232.0.190,5797,sh,121.761572,31.011206
183.195.123.146,3804,sh,121.345448,31.267301
117.186.59.157,900,sh,121.420257,31.20692
116.227.105.190,5389,sh,121.773592,31.049736
218.82.247.123,5829,sh,121.517347,31.186914
117.184.13.90,4088,sh,121.426819,31.240143
117.131.60.198,1568,sh,121.635307,31.148619
211.95.125.7,594,sh,121.42382,31.249234
180.158.42.163,3236,sh,121.337329,31.23248
180.168.137.222,2379,sh,121.542941,31.22805
116.235.168.174,5211,sh,121.589265,31.12558
222.70.156.86,4270,sh,121.52049,31.274176
124.76.28.3,3152,sh,121.685796,31.073888
139.227.168.6,5196,sh,121.357983,31.392241
116.227.116.79,3914,sh,121.914492,30.909984
116.226.166.179,1832,sh,121.583306,31.149364
124.76.46.171,4981,sh,121.178564,31.118557
183.194.97.218,2588,sh,121.31594,31.030393
58.35.55.98,4578,sh,121.605601,31.08112
58.34.28.10,4255,sh,121.503233,31.232647
183.194.91.106,6017,sh,121.474857,31.211237
180.157.39.69,3700,sh,121.708323,31.064612
221.239.178.159,2980,sh,121.239394,31.106171
116.238.165.77,2746,sh,121.253168,31.071811
117.144.143.209,5563,sh,121.181203,31.157198
101.95.178.250,4467,sh,121.561429,31.248687
117.186.163.190,3773,sh,121.455995,31.362134
180.169.29.250,2901,sh,121.396682,31.274463
180.162.118.10,3470,sh,121.402751,30.912641
101.85.212.228,648,sh,121.257752,31.121171
180.162.116.22,3933,sh,121.460188,30.937509
101.94.189.66,5030,sh,121.665591,31.287323
